conductivity,thickness
51698164.31,7.88E-05
8007967.532,8.92E-06
81116331.62,2.95E-05
4944696.218,1.65E-05
61940361.04,8.44E-05
92481979.49,9.46E-05
98349700.91,5.90E-05
31582259.44,8.55E-05
58645520.27,6.40E-05
93874101.97,8.06E-05
412612.5264,2.43E-05
87040394.66,3.95E-05
16151790.78,5.88E-05
7442041.666,2.91E-05
64985258.18,3.29E-05
20676533.21,7.18E-05
32714630.98,9.55E-05
98246276.81,8.45E-05
72493575.73,8.66E-05
77701579.72,3.05E-05
17859526.07,7.37E-05
93914565.28,6.93E-05
47599782.34,8.66E-05
94969560.04,6.00E-05
22335769.87,4.15E-05
44742232.92,1.53E-05
3001572.757,6.77E-05
80896367,4.12E-05
4639580.672,7.40E-05
68574030.05,5.00E-05
69059102.47,2.14E-05
86845901.94,8.28E-05
61817089.21,8.14E-05
33467164.24,1.65E-05
77619586.79,9.50E-05
2682307.902,8.16E-05
51347152.4,2.15E-05
7008821.055,9.98E-05
88810057.95,8.22E-05
18849449.55,9.66E-06
65944794.67,1.08E-05
9982037.155,8.96E-05
34246918.18,3.43E-05
87756709.73,4.10E-05
55675151.06,8.54E-05
63701693.64,8.57E-05
58987038.63,3.43E-05
86557082.23,9.03E-05
44769701.53,8.25E-05
84580705.72,4.05E-05
39316104.26,8.32E-05
80638574.22,6.98E-05
28780841.9,3.04E-05
2207992.915,9.01E-05
93952974.11,9.57E-05
61550937.4,6.52E-05
88811670.01,7.89E-05
95413800.96,8.89E-05
35913507.12,9.17E-05
54278868.39,8.46E-05
82401569.97,8.59E-05
91592506.55,4.65E-05
9688338.832,2.63E-05
65187936.17,3.20E-05
30565455.87,1.38E-05
29339712.07,6.26E-05
18118313.7,4.32E-05
11005645.88,1.56E-05
44458898.33,4.36E-05
9506511.994,7.16E-05
90652006.84,2.04E-05
41019852.23,5.21E-05
51395984.24,6.99E-05
32909245.21,2.31E-05
97447343.5,5.79E-05
33404613.93,9.83E-05
91683029.37,2.28E-05
40459578.18,4.68E-05
17182107.18,2.83E-05
77614434.01,7.80E-06
2931838.51,7.27E-05
4357850.677,9.01E-05
35322604.25,1.47E-05
92495785.09,9.31E-05
74568888.83,9.13E-05
34368721.09,3.55E-05
3634770.184,9.80E-06
84954304.58,8.81E-05
22165425.53,5.21E-05
38489599.5,9.73E-05
37182242.93,9.71E-05
31531577.19,6.05E-06
69047617.62,9.43E-05
58148943.36,8.32E-05
68512775.32,8.14E-05
10606458.58,3.69E-06
34365388.43,4.72E-05
73997702.23,6.56E-06
44969228.99,7.91E-05
93762228.14,7.46E-05
68931324.81,5.02E-05
30303065.21,6.86E-05
73149537.08,8.42E-05
15125891.6,5.27E-05
32811847.87,8.33E-05
37747985.39,1.46E-05
71254156.28,3.23E-05
12610606.96,9.81E-05
26489661.41,8.44E-05
49871846.89,6.90E-05
30459152.1,7.73E-06
83858448.85,7.60E-05
16135737,7.21E-05
95604526.27,8.99E-06
21118696.03,1.73E-06
48183920.37,3.23E-05
4568420.028,8.50E-05
26387653.42,5.69E-05
59385595.05,2.04E-05
30856858.59,8.99E-05
72833959.95,7.92E-05
89756623.77,5.75E-05
42061207.86,4.66E-05
38215963.37,5.37E-05
28303195.51,8.09E-05
79210850.23,7.68E-06
77499038.22,7.51E-05
72943831.43,4.51E-05
36037193.76,2.35E-05
54390511.31,6.87E-05
95721826.78,5.57E-05
23309651.49,5.70E-05
54662394.71,1.58E-05
79209534.4,6.91E-05
67629933.2,5.53E-05
16395780.73,2.65E-05
19868914.89,1.59E-05
30649386.17,3.06E-05
11026269.48,7.06E-05
56179300.34,9.22E-05
84002054.46,5.23E-05
94067634.18,9.98E-05
24520415.93,7.32E-05
9643924.187,3.20E-05
26408708.64,6.00E-05
28277455.38,6.54E-05
60511294.85,9.04E-05
13873984.88,4.11E-06
55617449.85,1.96E-05
85398383.61,5.90E-05
56471662.08,8.28E-05
38389771.19,3.23E-05
88530097.02,8.04E-05
64211837.23,8.86E-05
12742584.81,2.14E-05
34754413.19,1.89E-05
82124471.53,5.44E-05
25510492.36,1.82E-05
97483190.86,4.86E-05
80229570.33,1.71E-05
44552028.78,3.19E-05
95952353.66,1.07E-05
32084332.47,5.23E-05
12397317.38,8.38E-05
45426085.45,2.67E-05
15631789.61,9.99E-05
88978983.47,9.68E-05
317347.8747,8.58E-05
54935553.02,8.40E-05
64132452.79,7.00E-05
38779639.01,2.16E-05
13564466.45,6.98E-05
79355534.33,6.26E-05
56430129.52,8.10E-05
95296051.08,1.78E-05
6387682.638,6.38E-05
98651226.75,8.56E-05
43583678,3.15E-05
56305415.5,5.49E-05
2600619.085,2.05E-05
60029881.6,2.51E-05
74255470.21,8.89E-05
56577608.61,1.99E-05
94495195.59,4.86E-05
46492483.29,1.94E-05
67272849.28,6.01E-05
40179644.07,9.05E-05
20732505.76,3.03E-06
85706951.82,1.61E-05
1915652.816,6.07E-05
94694845.67,9.44E-06
97233037.54,1.32E-05
72756595.07,8.76E-05
72963299.49,1.59E-05
68696159.61,9.72E-06
60202457.82,1.66E-05
39040884.61,6.65E-05
84481479.4,1.68E-05
44852201.51,5.96E-05
54648186.04,3.15E-05
19941381.87,2.29E-05
53568159.73,2.76E-05
94967987.13,3.18E-06
21373586.79,6.35E-05
43437957.65,8.08E-05
9429401.235,7.11E-05
83231455.11,1.52E-05
12228315.55,6.34E-05
68537219.73,9.27E-05
44710118.6,7.52E-05
31417890.38,3.08E-05
39085610.79,3.85E-05
89617030.22,4.35E-05
85531837.62,6.95E-05
79460086,1.50E-05
31002264.5,3.22E-06
88919550.67,3.27E-05
95458422.23,2.81E-05
57732357.55,1.05E-05
5380393.157,9.87E-06
25218217.69,1.60E-05
42141105.24,7.81E-05
72207363.69,4.49E-05
55141031.51,2.42E-05
17577680.1,2.18E-05
99760682.59,4.07E-05
86334693.2,2.07E-05
92061296.28,2.00E-05
59256984.9,3.30E-05
73031615.01,1.35E-05
51062904.28,8.75E-05
4440755.277,9.90E-05
20299734.42,2.92E-06
26342718.68,7.39E-05
34475381.13,7.75E-05
47448921.37,7.76E-05
59704179.46,1.79E-06
60361051.15,5.78E-05
30995936.6,2.05E-06
12928988.37,6.16E-05
75989339.73,3.30E-05
63073335.73,5.68E-05
55161263.96,7.31E-05
50074355.93,1.34E-05
71544271.71,4.88E-05
18703452.41,7.97E-06
81908954.06,7.27E-05
80641440.59,2.51E-05
54548646.27,3.76E-05
61708610.31,1.81E-05
28251575.91,3.40E-05
95601529.68,5.65E-05
48660431.01,9.87E-05
68102784.11,9.13E-05
79698433.12,5.96E-05
21408664.06,6.90E-05
16575357.11,7.24E-05
86533505.63,3.19E-05
50344177.27,8.16E-05
79353565.77,8.85E-06
36566030.65,7.10E-06
51511390.14,3.12E-05
64298680.76,8.08E-05
43118353.61,3.01E-05
15755409.25,4.90E-05
38122200.29,1.12E-06
77632052.58,6.07E-05
2631102.902,3.93E-05
7468200.357,4.05E-05
78491776.68,6.53E-05
84190790.87,1.31E-05
2331495.01,7.08E-06
20422526.21,6.77E-05
88582468.8,8.29E-05
98834283.31,8.68E-05
74849071.61,1.86E-05
29315312.68,9.50E-05
9905499.502,5.49E-05
42106737.4,1.25E-06
39700634.96,1.36E-05
90870816.64,7.10E-05
8019045.753,3.30E-05
36011200.1,3.50E-05
97638646.47,7.01E-05
41934219.35,8.57E-05
56466749.29,9.72E-05
37828223.56,6.17E-05
76778397.98,1.02E-05
41541782.15,1.99E-05
80234138.17,1.56E-05
38031852.06,3.02E-05
77934528.42,2.52E-06
40048398.95,1.16E-05
61389019.6,4.22E-05
82572536.54,4.59E-05
82041128.43,4.56E-05
44039109.08,9.64E-05
92002796.23,6.33E-05
81660518.11,7.76E-05
67521344.2,3.83E-05
38234472.88,8.29E-05
98057261.14,8.92E-05
90387737.46,9.37E-05
30087675.78,3.93E-05
22871122.6,4.24E-05
81961720.81,7.23E-05
64409262.39,5.56E-06
80952506.87,4.32E-05
92930819.18,1.71E-06
64473618.72,9.27E-05
86648256.43,7.11E-05
50564329,3.41E-05
86319844.09,4.98E-05
23824975.64,7.74E-05
8457665.972,6.52E-05
92121708.09,5.98E-05
1942963.793,4.71E-05
57865298.53,9.31E-05
2395792.763,3.17E-06
3865929.513,4.07E-05
96649973.58,8.06E-06
2299189.799,6.98E-05
26994517.39,3.97E-05
42818897.47,2.94E-05
77543226.62,6.97E-05
1927640.527,4.17E-05
80735923.48,3.89E-05
62835991.63,8.68E-05
27025943.05,5.30E-05
58581062.66,9.03E-05
83756421.41,9.63E-06
95130119.31,7.69E-05
15967461.13,2.61E-05
5486701.348,6.71E-06
62739191.86,5.84E-05
98004653.06,6.00E-05
64010778.77,9.26E-05
45231175.78,5.10E-05
67249175.54,4.76E-05
56522869.97,1.26E-05
97733183.93,2.32E-05
43598671.36,6.96E-05
38113090.93,4.27E-05
41127767.77,5.15E-05
44546818.71,9.34E-05
53243385.64,4.14E-05
44463231.21,4.26E-05
7108579.259,9.08E-05
26901944.42,3.16E-05
50343388.75,6.66E-06
46608810.49,3.51E-05
30172941.02,6.77E-05
43501106.92,2.95E-05
23427597.27,1.56E-05
60029943.93,1.84E-05
16985300.09,7.55E-05
1140505.132,5.83E-06
23310048.66,8.03E-05
65446523.29,3.48E-05
15674893.72,3.29E-05
57363087.04,1.70E-05
98993749.6,8.33E-05
62198976.71,5.99E-05
23400387.96,5.12E-05
24683012.01,3.18E-05
20349405.53,9.80E-05
13134501.64,2.94E-05
7034465.214,8.92E-05
13948405.67,8.61E-05
90170145.66,4.72E-05
30981065.27,4.46E-05
23645541.55,5.60E-05
97264512.67,3.69E-05
17995314.13,3.12E-05
75433349.92,8.86E-05
21394336.24,9.92E-05
39603125.27,9.53E-05
37516461.29,4.52E-05
52037125.81,4.07E-05
80452068.18,7.66E-05
14513371.79,5.56E-05
43650293.57,8.48E-05
860498.9501,2.82E-05
84786956.12,4.05E-05
92441946.24,2.70E-05
65543567.66,4.51E-05
63916173.95,6.68E-05
49228190.5,5.64E-05
42621899.28,6.81E-05
94301361.6,5.29E-06
24308519.72,2.94E-05
17406349.98,9.41E-05
35172810.03,3.88E-05
193608.934,6.73E-05
48271029.73,6.41E-05
99063794.31,6.77E-05
29225132.33,7.21E-05
56876540.56,2.18E-06
33856903.26,7.63E-05
79369010.29,1.94E-05
56167322.93,3.18E-05
36451266.78,2.82E-05
65636916.2,8.58E-05
64930993.44,1.10E-05
34138907.23,8.13E-05
59517875.36,9.80E-05
9441514.108,5.21E-05
80798619.77,9.55E-05
91969321.98,4.45E-05
15071938.61,1.65E-05
18477454.05,9.41E-05
37407116.48,9.31E-05
98160460.55,6.23E-05
36817684.05,9.88E-06
87229515.84,9.17E-05
25772355.79,1.20E-05
73834215.81,4.83E-05
44730626.37,2.41E-05
26976433.45,8.48E-05
5993195.188,2.37E-05
76305992.37,4.57E-05
19652471.5,9.15E-05
46332132.66,8.23E-05
10902889.97,3.86E-05
97879736.04,3.75E-05
98070057.25,5.50E-05
31984237.1,2.38E-05
19743690.77,7.89E-06
65824505.02,9.80E-05
19900988.63,5.60E-05
70905939.06,9.72E-05
60715156.01,9.17E-05
25346040.05,2.34E-05
60740039.19,9.88E-05
5951525.425,3.08E-05
53292351.23,2.75E-05
30754285.19,6.11E-06
83753435.36,8.25E-05
33547452,9.40E-05
2953184.842,4.22E-05
28605411.4,2.31E-05
26399552.16,6.42E-05
28101441.97,4.90E-06
51943666.28,2.73E-05
37777748.3,3.26E-05
69208984.83,9.81E-05
25995879.27,8.53E-05
47760080.8,9.81E-05
40594732.53,7.30E-05
63413163.28,7.91E-05
15871151.28,3.78E-05
20324683.43,9.46E-05
12755964.93,9.34E-05
26571890.31,5.38E-05
9756838.691,5.07E-06
1570013.111,4.47E-05
45028905.28,8.01E-05
74469920.03,3.48E-05
4103301.811,4.09E-05
11194195.4,4.34E-05
82356647.2,5.21E-05
97861999.09,1.59E-05
4430425.081,1.34E-05
23983227.96,8.29E-05
7209524.805,5.68E-05
34392301.78,3.21E-05
50624804,3.61E-05
18438901.98,1.66E-06
32242123.39,7.78E-05
23205866.14,6.38E-05
95149794.87,9.19E-05
29805014.08,7.88E-05
70761474.23,5.90E-05
12392486.76,5.08E-05
8901232.866,5.38E-05
9689426.256,4.80E-05
64684473.67,5.70E-05
18760847,6.15E-06
60573763.29,4.89E-05
61406333.29,1.83E-05
22200728.78,1.19E-05
22670096.11,2.87E-05
40419379.45,3.17E-05
60638314.42,4.44E-05
38654898.05,7.92E-05
88718665.16,6.83E-05
56683906.74,9.77E-05
9115513.551,6.38E-05
85026670.91,8.64E-05
64968177.07,5.40E-05
17552795.2,7.96E-05
60477445.28,3.44E-06
70958610.96,1.07E-05
9387823.596,7.59E-05
61397359.84,8.97E-05
70653987.02,8.16E-05
64250315.02,4.67E-06
62000199.53,9.60E-06
88231780.65,9.93E-05
65120820.22,1.92E-06
4501595.421,5.71E-05
3918789.643,5.89E-05
15523824.11,3.72E-05
21244707.33,5.42E-05
79358008.49,1.36E-05
53616405.78,3.27E-05
14819269.49,2.97E-05
25411246.33,4.69E-05
91472867.34,1.20E-05
64365216.25,5.94E-05
12035217.86,2.45E-05
71307863.05,7.76E-06
34987316.69,9.38E-05
36742719,4.57E-06
53124186.07,2.04E-05
4013433.895,6.89E-05
78691910.94,9.83E-05
33750339.25,8.77E-05
20415361.56,3.35E-05
96224535.6,7.08E-05
15855605.57,4.07E-05
36626243.08,5.87E-05
57877081.08,5.07E-05
66105009.57,8.99E-05
37972661.4,7.59E-05
43723058.06,3.92E-05
81789672.37,4.74E-05
64965897.83,8.24E-05
60045801.38,6.46E-06
20358818.59,5.74E-05
24755173.47,2.39E-05
62093163.05,3.27E-06
20075828.04,7.30E-05
6442901.219,1.38E-05
49136101.94,8.39E-05
7029234.595,5.21E-06
70947581.47,7.41E-05
76477000.49,6.80E-05
30414326.56,4.20E-05
50666856.51,5.43E-05
82198515.4,6.39E-05
76290744.23,4.15E-05
78583113.17,1.53E-06
10469606.92,3.19E-05
35586613.06,5.62E-06
2401469.683,9.72E-06
29222220.97,7.19E-05
52518206.94,8.23E-05
88713320.91,7.30E-05
66028865.35,6.79E-05
22458322.9,1.19E-06
60291623.22,5.87E-05
55771120.18,1.80E-05
36865045.66,4.84E-05
65690395.28,1.72E-05
39679391.36,3.06E-05
40043670.32,7.20E-05
95016848.22,5.91E-05
69182197.21,3.24E-06
90623566.09,4.91E-05
74790975.75,6.75E-05
73273606.07,2.14E-05
84891201.72,3.62E-05
65650647.33,4.73E-05
64689832.4,3.55E-06
11190080.85,8.54E-05
62461610.52,5.30E-05
98047074.72,6.09E-05
23831908.52,8.35E-05
96510977.57,3.46E-05
9618071.248,1.98E-05
17331293.56,8.67E-05
24346100.8,6.98E-05
66494694.48,2.65E-05
9079385.993,8.17E-05
36528808.75,1.37E-05
56830605.4,1.57E-05
53471927.07,9.74E-05
3227720.909,2.79E-05
59401651.24,3.07E-05
50549343.68,9.50E-05
32886589.51,6.14E-05
10771318.7,4.44E-05
42093252.66,7.12E-05
11370032.87,4.42E-05
41915402.33,6.05E-05
43522450.45,9.06E-06
2907628.897,6.26E-05
87912071.75,7.24E-05
65104907.03,7.91E-05
53414919.08,8.84E-05
63326604.53,5.76E-05
11754974.02,3.59E-05
37565264.78,9.26E-05
85695693.39,5.05E-05
71379596.8,4.02E-05
52146769.09,6.17E-05
7680758.291,8.50E-06
75485783.22,7.79E-05
34284137.32,1.46E-05
28511361.79,8.66E-05
61048856.58,7.58E-05
72739606.56,6.38E-05
21245817.45,5.65E-05
40035808.16,7.53E-05
46385484.38,9.39E-06
25309609.09,6.96E-05
54404797.46,7.30E-05
63913872.25,2.12E-05
22174059.6,5.61E-05
68808748.48,2.17E-05
8987322.451,3.40E-05
9655479.114,9.23E-05
11412850.26,4.77E-05
57650222.17,5.93E-05
3033932.318,9.07E-05
20747239.33,3.46E-05
94213627.94,8.87E-05
9838499.103,5.08E-05
40291558.6,5.62E-05
15709788.71,7.41E-05
51812861.18,2.50E-05
79504311.45,5.74E-05
33207944.85,1.53E-05
80734286.85,2.24E-05
77434442.91,3.04E-05
11580472.24,4.36E-05
60557048.09,8.21E-05
33818836.12,6.76E-05
39533837.75,1.70E-05
19280805.72,6.75E-05
54838424.74,1.70E-06
57576908.16,1.94E-05
94130505.42,4.28E-05
29629223.88,6.18E-05
33321018.69,4.48E-05
2187612.394,6.17E-05
58370907.25,6.74E-05
5965587.173,1.04E-05
61971771.97,6.45E-05
46123296.62,1.67E-05
62555957.66,9.47E-05
21668556.66,6.24E-05
71022270.83,6.19E-05
1276422.379,9.42E-05
61215988.64,6.10E-05
1596362.571,8.55E-05
86647525.58,4.94E-05
27332044.22,9.75E-05
90579352.97,1.74E-05
60986268.98,3.89E-05
26160214.76,9.07E-06
32314238.73,4.26E-05
11261779.19,2.73E-05
16495769.02,7.13E-05
21540632.98,4.07E-05
4752038.484,7.06E-05
48595664.03,5.42E-05
87439901.89,5.76E-05
30607454.29,7.41E-06
16452401.85,9.82E-05
45892214.67,3.61E-05
93365986.5,5.48E-05
98485306.77,3.21E-05
43718427.2,3.33E-06
4689392.391,9.50E-05
34790462.08,5.40E-05
89252140.3,8.94E-05
35378630.78,1.43E-05
77534800.7,9.87E-05
25998704.94,7.54E-06
76624880.28,5.13E-05
72266113.46,9.95E-05
48319866.69,2.44E-05
9061247.233,2.67E-05
80772201.01,5.06E-05
52570281.18,9.68E-05
25904604.79,5.49E-05
21538577.39,7.15E-06
30257123.34,8.41E-05
34710686.18,8.48E-05
36380396.34,6.55E-05
99407615.7,4.16E-05
79447146.01,8.94E-05
60851410.27,8.54E-05
71492049.71,1.24E-05
42485179.84,1.24E-06
96499020.62,4.68E-05
59206893.39,2.55E-06
57556182.77,2.66E-05
9658631.99,8.13E-05
72617071.94,8.30E-05
6331838.021,2.39E-05
25243585.81,7.91E-05
91718091.83,1.33E-05
57601546,5.07E-05
10916870.75,9.10E-05
18097706.15,4.23E-06
27660522.93,5.41E-05
59233340.58,2.15E-05
39175488.84,3.17E-05
10793532.15,6.74E-05
32597583.05,1.23E-05
92092184.54,5.24E-05
74335514.7,5.83E-05
13043403.83,7.50E-05
74741735.98,7.29E-05
92875383.39,6.52E-05
35893584.06,6.06E-05
82761846.77,4.64E-05
17480862.16,6.50E-05
49573598.59,1.83E-05
8640002.13,6.19E-06
17714560.08,2.74E-05
47614455.62,7.76E-05
53398112.46,6.85E-05
12923929.77,3.66E-05
50857255.53,8.77E-05
79070370.78,1.45E-06
84698664.06,1.72E-05
87947440.38,8.34E-05
29179119.37,2.92E-05
24360937.59,4.39E-05
9631418.146,3.87E-05
97097913.66,5.67E-05
49115207.4,8.72E-06
64209584.08,7.43E-05
22351808.39,5.68E-05
79706590.78,2.16E-05
24104371.68,4.81E-05
78493280.84,1.33E-05
47308033.57,5.23E-05
83780302.76,7.07E-05
6318240.587,5.05E-05
92302837.48,9.17E-05
61452479.79,9.38E-05
3211033.346,6.78E-05
78997029.07,5.26E-06
58951487.45,4.88E-05
7123067.103,7.50E-05
62959010.42,9.37E-06
33178204.76,4.24E-05
82729148.7,5.72E-05
610761.9536,9.19E-05
28120943.64,2.51E-05
1412730.337,7.61E-05
86681857.63,6.63E-05
33674406.39,8.16E-05
75727877.11,2.85E-05
65939073.28,6.89E-06
6243154.947,3.41E-05
88453336.62,8.49E-05
99483666.91,4.90E-05
44694645.62,6.36E-05
95964142.21,4.91E-05
39913370.07,8.13E-05
29358551.03,7.16E-05
59179226.51,7.88E-05
61381764.1,6.63E-05
45385125.61,8.59E-05
21145088.07,4.81E-05
83264069.61,2.17E-05
10088863.52,1.54E-06
3445352.829,1.81E-05
73215698.06,6.34E-05
90300554.46,9.50E-05
74555254.18,2.37E-05
59847080.22,5.52E-05
91466879.23,9.17E-05
47353355.59,2.52E-05
86405393.89,9.90E-05
96613144.16,9.86E-05
99052575.36,6.98E-05
27686355.81,4.73E-05
98282511.96,7.49E-05
62285979.99,6.84E-05
76438420.25,8.02E-06
98220908.02,3.09E-05
86285826.47,6.95E-05
17715935.06,9.28E-05
94245881.16,2.10E-05
22945204.53,6.79E-05
96257340.59,3.80E-05
97005531.22,1.57E-05
72276988.14,7.42E-06
2492822.618,4.01E-06
39414387.76,8.02E-05
42715507.19,3.87E-05
46699825.64,7.28E-05
25810604.31,5.33E-05
94665411.4,3.52E-05
26541978.12,5.50E-06
91512005.74,7.21E-05
59332142.38,6.87E-05
51148895.95,1.18E-05
96011192.81,7.25E-05
64155593.92,4.73E-05
82098641.36,2.70E-06
10896196.19,1.57E-05
53256705.94,3.47E-05
150984.4158,9.62E-06
20256042.37,9.95E-05
53248530.29,8.19E-05
5852830.359,6.78E-05
54386876.08,5.98E-05
94037324.21,1.89E-05
41734357.38,5.26E-05
53063402.93,1.42E-05
51938597.9,7.03E-06
65876248.97,9.18E-05
74018185.18,8.94E-05
63881012.3,4.40E-05
